                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                 1.3422,                 1.0312,                 1.1782,                0.68131,                0.48955,                0.56484,                0.35815,                 1.2712,                0.85775,                 1.1112,              0.0067082,              0.0067082,              0.0067082
                    135,                  1.341,                 1.0308,                 1.1773,                0.67707,                 0.4919,                 0.5641,                0.35817,                  1.271,                 0.8576,                 1.1112,              0.0066835,              0.0066835,              0.0066835
                    136,                 1.3413,                 1.0304,                 1.1768,                0.67798,                 0.4937,                0.56528,                0.35829,                 1.2708,                0.85747,                 1.1111,              0.0066587,              0.0066587,              0.0066587
                    137,                 1.3408,                 1.0275,                 1.1761,                0.67624,                0.49369,                0.56497,                0.35845,                 1.2708,                0.85724,                  1.111,               0.006634,               0.006634,               0.006634
                    138,                  1.336,                 1.0212,                 1.1738,                0.68519,                0.49141,                0.56592,                0.35891,                 1.2704,                 0.8563,                 1.1105,              0.0066092,              0.0066092,              0.0066092
                    139,                   1.34,                 1.0285,                 1.1764,                0.67873,                0.49296,                0.56631,                0.35911,                 1.2702,                0.85607,                 1.1103,              0.0065845,              0.0065845,              0.0065845
                    140,                 1.3391,                 1.0284,                 1.1763,                0.68128,                0.49438,                0.56686,                0.35894,                 1.2701,                0.85608,                 1.1102,              0.0065598,              0.0065598,              0.0065598
                    141,                 1.3404,                 1.0285,                 1.1763,                0.67722,                0.49433,                0.56658,                0.35907,                   1.27,                0.85597,                 1.1101,               0.006535,               0.006535,               0.006535
                    142,                 1.3404,                 1.0293,                 1.1777,                0.67905,                0.49271,                0.56712,                0.35949,                 1.2701,                0.85611,                 1.1104,              0.0065102,              0.0065102,              0.0065102
                    143,                 1.3389,                 1.0287,                 1.1768,                0.67972,                0.49382,                0.56706,                0.36002,                   1.27,                0.85598,                 1.1104,              0.0064855,              0.0064855,              0.0064855
                    144,                 1.3385,                 1.0279,                 1.1763,                0.67832,                0.49312,                0.56722,                 0.3599,                 1.2699,                 0.8558,                 1.1103,              0.0064608,              0.0064608,              0.0064608
                    145,                 1.3396,                 1.0271,                 1.1752,                0.67129,                0.49739,                0.56759,                0.36019,                 1.2697,                0.85546,                 1.1101,               0.006436,               0.006436,               0.006436
                    146,                  1.339,                 1.0254,                  1.175,                0.67916,                0.49597,                0.56838,                0.36053,                 1.2697,                 0.8551,                 1.1099,              0.0064112,              0.0064112,              0.0064112
